ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Reference #;Manufacturer;Quantity;Minimal quantity;Visibility;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Show price (0 = No, 1 = Yes);Condition
109;1;CAMISETA U- ARMOUR SPORT FIT  BLANCO XXL;CAMISETAS;$ 34.990 ;1;$ 34.990 ;1;6,00009E+12;UNDER ARMOUR;1;1;;;;UNDER ARMOUR;;;;Disponible;;;;Nuevo
110;1;CAMISETA AD BANDA NEGRA S;CAMISETAS;$ 51.990 ;1;$ 51.990 ;1;6,00009E+12;ADIDAS;1;1;;;;ADIDAS;;;;Disponible;;;;Nuevo
111;1;CAMISETA VC 16 VERDE M;CAMISETAS;$ 34.990 ;1;$ 34.990 ;1;6,00009E+12;VOLCOM;1;1;;;;VOLCOM;;;;Disponible;;;;Nuevo
112;1;CAMISETA BULZEYE CALAVERA-PIEDRAS;CAMISETAS;$ 19.990 ;1;$ 19.990 ;1;6,8221E+12;BULZEYE;1;1;;;;BULZEYE;;;;Disponible;;;;Nuevo
113;1;CAMISETA GIRBAUD ESTAM.;CAMISETAS;$ 37.990 ;1;$ 37.990 ;1;6,97629E+12;GIRBAUD;1;1;;;;GIRBAUD;;;;Disponible;;;;Nuevo
114;1;BRAZERA OAKLEY 1712 AZUL;ACCESORIOS;$ 24.990 ;1;$ 24.990 ;1;7,05E+12;OAKLEY;1;1;;;;OAKLEY;BRAZERA OAKLEY 1712 AZUL;;;Disponible;;;;Nuevo
115;1;BOXER TO TRICOLOR TALLA XL;BOXER;$ 19.990 ;1;$ 19.990 ;1;7,1E+12;TOMMY HILFIGER;1;1;;;;TOMMY HILFIGER;;;;Disponible;;;;Nuevo
116;1;BOXER EA CLASICO TALLA L-BLANCO;BOXER;$ 19.990 ;1;$ 19.990 ;1;7,1E+12;EMPORIO ARMANI;1;1;;;;EMPORIO ARMANI;;;;Disponible;;;;Nuevo
117;1;BOXER EA BLANCO RAYA NEGRA S;BOXER;$ 21.990 ;1;$ 21.990 ;1;7,1E+12;EMPORIO ARMANI;1;1;;;;EMPORIO ARMANI;;;;Disponible;;;;Nuevo
118;1;BOXER CK RAYAS NEGRO-GRIS S;BOXER;$ 21.990 ;1;$ 21.990 ;1;7,1E+12;CALVIN KLEIN;1;1;;;;CALVIN KLEIN;;;;Disponible;;;;Nuevo
119;1;BOXER CK BANDA VARIADA BLANCO TALLA S;BOXER;$ 19.990 ;1;$ 19.990 ;1;7,1E+12;CALVIN KLEIN;1;1;;;;CALVIN KLEIN;;;;Disponible;;;;Nuevo
120;1;BOXER TM RAYAS BLANCO VERDE M;BOXER;$ 21.990 ;1;$ 21.990 ;1;7,10001E+12;TOMMY HILFIGER;1;1;;;;TOMMY HILFIGER;;;;Disponible;;;;Nuevo
121;1;BOXER KLEY RAYAS FONDO NEGRO AZULES XL;BOXER;$ 21.990 ;1;$ 21.990 ;1;7,10001E+12;OAKLEY;1;1;;;;OAKLEY;;;;Disponible;;;;Nuevo
122;1;BOXER VRS CLASICO NEGRO TALLA M;BOXER;$ 19.990 ;1;$ 19.990 ;1;7,10001E+12;VERSACE;1;1;;;;VERSACE;;;;Disponible;;;;Nuevo
123;1;BOXER COCTEL VARIOS;BOXER;$ 16.990 ;1;$ 16.990 ;1;7,10001E+12;COCTEL;1;1;;;;COCTEL;;;;Disponible;;;;Nuevo
124;1;BOXER UNICO NEGRO RAYAS COLORES TALLA S;BOXER;$ 17.990 ;1;$ 17.990 ;1;7,10001E+12;UNICO;1;1;;;;UNICO;;;;Disponible;;;;Nuevo
125;1;BOXER D G;BOXER;$ 17.990 ;1;$ 17.990 ;1;7,32032E+12;DOLCE GABANNA;1;1;;;;DOLCE GABANNA;;;;Disponible;;;;Nuevo
126;1;CARRIEL PRADA REF: 377;MALETIN;$ 24.990 ;1;$ 24.990 ;1;7,38138E+12;PRADA;1;1;;;;PRADA;;;;Disponible;;;;Nuevo
127;1;BILLETERA KLEY REF OH-23;BILLETERAS;$ 29.990 ;1;$ 29.990 ;1;7,39E+12;OAKLEY;1;1;;;;OAKLEY;;;;Disponible;;;;Nuevo
128;1;BILLETERA FOX UA;BILLETERAS;$ 17.990 ;1;$ 17.990 ;1;7,39E+12;FOX;1;1;;;;FOX;;;;Disponible;;;;Nuevo
129;1;BILLETERA QS UA;BILLETERAS;$ 17.990 ;1;$ 17.990 ;1;7,39E+12;QUICKSILVER;1;1;;;;QUICKSILVER;;;;Disponible;;;;Nuevo
130;1;BILLETERA BILL REF B823;BILLETERAS;$ 29.990 ;1;$ 29.990 ;1;7,39E+12;BILLABONG;1;1;;;;BILLABONG;;;;Disponible;;;;Nuevo
131;1;BILLETERA DS ESTILOS 2012;BILLETERAS;$ 54.990 ;1;$ 54.990 ;1;7,39001E+12;DIESEL;1;1;;;;DIESEL;;;;Disponible;;;;Nuevo
132;1;BILLETERA KLEY OH5001-38;BILLETERAS;$ 29.990 ;1;$ 29.990 ;1;7,39001E+12;OAKLEY;1;1;;;;OAKLEY;;;;Disponible;;;;Nuevo
133;1;BILLETERA SLIK BI-EDDY VERDE;BILLETERAS;$ 25.900 ;1;$ 25.900 ;1;7,39002E+12;SLIK;1;1;;;;SLIK;;;;Disponible;;;;Nuevo
